danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,time_signature_0,time_signature_1,time_signature_2,time_signature_3,time_signature_4,time_signature_5,mode_0,mode_1,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,clusters
0.363,0.129,-14.304,0.0322,0.904,1.52e-06,0.157,0.147,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
0.7929999999999999,0.8590000000000001,-3.774,0.0332,0.266,0.000356,0.133,0.964,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
0.433,0.361,-7.6789999999999985,0.0298,0.609,0.00565,0.177,0.102,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6
0.463,0.755,-7.244,0.0634,0.11,4.89e-06,0.103,0.252,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
0.6759999999999999,0.762,-4.172,0.0351,0.461,0.0,0.0574,0.81,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8
0.528,0.467,-5.306,0.0287,0.295,0.0,0.165,0.184,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8
0.7120000000000001,0.862,-4.612,0.0378,0.0525,0.0,0.093,0.809,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0.6940000000000001,0.523,-6.407,0.0254,0.875,0.000172,0.35200000000000004,0.472,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6
0.152,0.334,-4.735,0.0306,0.639,6.95e-05,0.115,0.161,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8
0.616,0.209,-13.43,0.406,0.902,0.0,0.139,0.336,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7
0.501,0.809,-5.2639999999999985,0.0938,0.0338,0.00602,0.119,0.258,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8
0.762,0.6920000000000001,-3.973,0.0438,0.113,0.0,0.094,0.397,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0.379,0.29,-8.485,0.051,0.952,0.00106,0.118,0.16899999999999998,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9
0.7909999999999999,0.754,-3.729,0.0569,0.00446,0.0,0.163,0.425,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
0.765,0.486,-13.819,0.0469,0.0745,9.89e-06,0.282,0.856,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
0.629,0.969,-0.276,0.0455,0.00184,0.0,0.122,0.905,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
0.617,0.741,-3.97,0.0311,0.131,0.0,0.0772,0.306,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4
0.616,0.78,-6.062,0.0623,0.0322,0.0,0.173,0.471,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8
0.575,0.821,-5.7,0.0527,0.181,0.0,0.124,0.449,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
0.6859999999999999,0.457,-8.322000000000001,0.0468,0.595,0.0,0.105,0.718,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9
0.715,0.907,-6.025,0.0993,0.0172,8.39e-05,0.426,0.841,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6
0.271,0.49,-9.069,0.0528,0.0492,0.00028,0.11,0.175,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
0.738,0.804,-3.851,0.0621,0.332,0.0,0.279,0.949,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
